"","genes_core"
"1534","spo0E"
"1535","spo0F"
"1536","spo0M"
"1537","spoIIAA"
"1538","spoIIAB"
"1539","spoIIIAB"
"1540","spoIIIAF"
"1541","spoIIIAH"
"1542","spoIIID"
"1543","spoIIIE"
"1544","spoIIM"
"1545","spoIIQ"
"1546","spoIISA"
"1547","spoIISB"
"1548","spoIVA"
"1549","spoIVB"
"1550","spoIVFA"
"1551","spoIVFB"
"1552","spoVG"
"1553","spoVS"
"1554","spoVT"
"1555","sppA"
"1556","spsA"
"1557","spsE"
"1558","spuC"
"1559","spxA"
"1560","srlA"
"1561","srlB"
"1562","srrA_1"
"1563","srrA_2"
"1564","srtD_1"
"1565","sspD"
"1566","sspJ"
"1567","sspK"
"1568","sspN"
"1569","ssuC_2"
"1570","stiP"
"1571","stoA"
"1572","stp"
"1573","sufC"
"1574","sufS"
"1575","sufT"
"1576","sufU"
"1577","sumT"
"1578","surA"
"1579","swrD"
"1580","tadA_1"
"1581","tadA_2"
"1582","tagA"
"1583","tagD"
"1584","tagT_1"
"1585","tagT_2"
"1586","tagU"
"1587","tagV"
"1588","tapA"
"1589","tatC2"
"1590","tcyB"
"1591","tdk"
"1592","tenA_1"
"1593","tenA_2"
"1594","tenI"
"1595","tepA"
"1596","tetA_1"
"1597","tgl"
"1598","tgnB"
"1599","thiE"
"1600","thiG"
"1601","thiI"
"1602","thiL"
"1603","thiM"
"1604","thiN"
"1605","thiO"
"1606","thiS"
"1607","thrC_1"
"1608","thrS"
"1609","tig"
"1610","tilS"
"1611","tlp"
"1612","tlyA"
"1613","tmcAL"
"1614","tmk"
"1615","tmpC"
"1616","tolB"
"1617","topA"
"1618","topB"
"1619","tpa"
"1620","tpiA"
"1621","tpx"
"1622","treA"
"1623","treP"
"1624","treR"
"1625","trmB"
"1626","trmD"
"1627","trmK"
"1628","trmL"
"1629","trmR"
"1630","trpA"
"1631","trpB"
"1632","trpC"
"1633","trpD"
"1634","trpE"
"1635","trpF"
"1636","trpP"
"1637","trpS"
"1638","truB"
"1639","trxA"
"1640","trxB_2"
"1641","tsaB"
"1642","tsaD"
"1643","tsaE"
"1644","tspO"
"1645","tuaB"
"1646","tuaC"
"1647","tuaF"
"1648","tuaG"
"1649","tuaG_1"
"1650","tuaH"
"1651","udk"
"1652","ugtP"
"1653","undec1A"
"1654","ung"
"1655","upp"
"1656","uppS"
"1657","uvrB"
"1658","uvsE"
"1659","uxaB"
"1660","veg"
"1661","vpr"
"1662","walR_1"
"1663","wecD"
"1664","whiA"
"1665","xerC"
"1666","xerD"
"1667","xlyA"
"1668","xpt"
"1669","xre"
"1670","xseA"
"1671","xseB"
"1672","xylB_1"
"1673","xylB_2"
"1674","xylT"
"1675","xynC"
"1676","xynD"
"1677","xynR"
"1678","yabA"
"1679","yabG"
"1680","yabJ_1"
"1681","yabJ_2"
"1682","yabP"
"1683","yabT"
"1684","yafV"
"1685","yajC"
"1686","ybaK"
"1687","ybeY"
"1688","ybeZ"
"1689","ybjJ"
"1690","ycdF"
"1691","yceC"
"1692","yceD_1"
"1693","yceD_2"
"1694","ycfH"
"1695","ychF"
"1696","yckB"
"1697","yclM"
"1698","ycnE"
"1699","ycnI"
"1700","ycnJ"
"1701","ycsE"
"1702","ydaD_1"
"1703","ydaF_1"
"1704","ydaG"
"1705","ydbM"
"1706","ydbP"
"1707","ydcC"
"1708","ydhP_2"
"1709","ydiN_1"
"1710","ydiN_2"
"1711","ydjA"
"1712","ydjF"
"1713","ydjM"
"1714","yecS_2"
"1715","yeeO"
"1716","yerA"
"1717","yesV"
"1718","yesY"
"1719","yfhH"
"1720","yfhS"
"1721","yfiC"
"1722","yfiT"
"1723","yfiY_1"
"1724","yfiY_2"
"1725","yfiZ"
"1726","yfkC"
"1727","yfkJ"
"1728","yfkM"
"1729","yfkN"
"1730","yfkO"
"1731","yflH"
"1732","yflN"
"1733","yfmB"
"1734","yfmO"
"1735","yfmS_1"
"1736","yhaI"
"1737","yhaL"
"1738","yhaZ"
"1739","yhcN"
"1740","yhcR"
"1741","yhdG_4"
"1742","yhdK"
"1743","yheD"
"1744","yheH"
"1745","yheS"
"1746","yhfK"
"1747","yhfT"
"1748","yhhS"
"1749","yiaC"
"1750","yidD"
"1751","yigZ"
"1752","yiiM"
"1753","yisK"
"1754","yisP"
"1755","yitU"
"1756","yjbC"
"1757","yjbI"
"1758","yjbK"
"1759","yjbM"
"1760","yjcA"
"1761","yjcD"
"1762","yjcF"
"1763","yjcG"
"1764","yjiB"
"1765","ykfA"
"1766","ykfB"
"1767","ykfC"
"1768","yknW"
"1769","yknY"
"1770","yknZ"
"1771","ykqA"
"1772","ykuD"
"1773","ykuI"
"1774","ykuJ"
"1775","ykuR"
"1776","ykuT"
"1777","ykuV"
"1778","ylbJ"
"1779","ylbL"
"1780","ylbP"
"1781","ylmB"
"1782","yloB"
"1783","ymdB"
"1784","ymfD"
"1785","ynaI"
"1786","yneB"
"1787","yngG"
"1788","yngHB"
"1789","yocH"
"1790","yodC_1"
"1791","yodC_2"
"1792","yodF"
"1793","yodP"
"1794","yojF"
"1795","yokD"
"1796","ypcP"
"1797","ypdF"
"1798","ypeB"
"1799","ypfA"
"1800","ypfD"
"1801","ypjD"
"1802","ypjQ_1"
"1803","ypjQ_2"
"1804","ypmB"
"1805","ypmQ"
"1806","ypoC"
"1807","yppE"
"1808","ypuA"
"1809","yqeH"
"1810","yqeN"
"1811","yqeY"
"1812","yqfL"
"1813","yqgQ"
"1814","yqhS"
"1815","yqzG"
"1816","yraA"
"1817","yrdA"
"1818","yrrB"
"1819","yrrK"
"1820","yrrT"
"1821","ysdB"
"1822","ysdC_2"
"1823","yslB"
"1824","ysnE"
"1825","ytaF"
"1826","yteP"
"1827","yteS"
"1828","yteT"
"1829","ytfJ"
"1830","ythA"
"1831","ythB"
"1832","ytkD"
"1833","ytlP"
"1834","ytlR"
"1835","ytmB"
"1836","ytnP"
"1837","ytpA"
"1838","ytpB"
"1839","ytpP"
"1840","ytrA_1"
"1841","ytrH"
"1842","ytrI"
"1843","yttA"
"1844","yttP"
"1845","ytzE"
"1846","yueD"
"1847","yueI"
"1848","yugI"
"1849","yuiC"
"1850","yumC"
"1851","yunB"
"1852","yusO_2"
"1853","yusV_2"
"1854","yutD"
"1855","yutF"
"1856","yuzO"
"1857","yvbK"
"1858","yvcJ"
"1859","yvdD"
"1860","yveA"
"1861","yveL"
"1862","yvfG"
"1863","yvgN_1"
"1864","yvgO_1"
"1865","yviE"
"1866","yvqK"
"1867","yvyC"
"1868","yvyD"
"1869","yvyG"
"1870","yvyI"
"1871","ywaC"
"1872","ywcE"
"1873","ywdI"
"1874","ywdJ"
"1875","ywhB"
"1876","ywiB"
"1877","ywiE_1"
"1878","ywlC"
"1879","ywlE"
"1880","ywlF"
"1881","ywmB"
"1882","ywnA_1"
"1883","ywnA_2"
"1884","ywpJ"
"1885","ywqF"
"1886","ywqG"
"1887","ywtE"
"1888","yxeB"
"1889","yxeM"
"1890","yxeN_2"
"1891","yxeO_2"
"1892","yycB_1"
"1893","yycC"
"1894","yycE"
"1895","yycH"
"1896","yycI"
"1897","yycJ"
"1898","zapA"
"1899","znuC"
"1900","zwf"
