"","genes_core"
"372","glmS"
"373","glnA"
"374","glnH_1"
"375","glnH_2"
"376","glnK_1"
"377","glnM"
"378","glnP"
"379","glnQ_2"
"380","glnQ_3"
"381","glnR"
"382","gloA"
"383","gloC"
"384","glpD"
"385","glpE_1"
"386","glpE_2"
"387","glpF"
"388","glpG"
"389","glpK"
"390","glpP"
"391","glpQ_2"
"392","glpX"
"393","glsA1"
"394","glsA2"
"395","gltB"
"396","gltC_1"
"397","gltT_1"
"398","gltT_2"
"399","glvR_1"
"400","glvR_2"
"401","glyA"
"402","glyQ"
"403","glyS"
"404","gmk"
"405","gmuA_2"
"406","gmuB"
"407","gmuD_2"
"408","gmuE_1"
"409","gmuR"
"410","gpmA"
"411","gpr"
"412","gpsA"
"413","gpx1"
"414","graR"
"415","graS"
"416","greA"
"417","group_1040"
"418","group_1124"
"419","group_1168"
"420","group_1177"
"421","group_1191"
"422","group_1222"
"423","group_1238"
"424","group_1264"
"425","group_1308"
"426","group_1371"
"427","group_1372"
"428","group_1375"
"429","group_1379"
"430","group_1407"
"431","group_1420"
"432","group_1435"
"433","group_1456"
"434","group_1528"
"435","group_1539"
"436","group_1572"
"437","group_15796"
"438","group_15800"
"439","group_15801"
"440","group_15802"
"441","group_15803"
"442","group_15804"
"443","group_15809"
"444","group_15820"
"445","group_15823"
"446","group_1584"
"447","group_15840"
"448","group_15851"
"449","group_15855"
"450","group_15856"
"451","group_15866"
"452","group_15878"
"453","group_15889"
"454","group_15894"
"455","group_15906"
"456","group_15908"
"457","group_15920"
"458","group_15923"
"459","group_15925"
"460","group_15926"
"461","group_15931"
"462","group_15932"
"463","group_15939"
"464","group_15942"
"465","group_15945"
"466","group_15946"
"467","group_15947"
"468","group_1600"
"469","group_1615"
"470","group_1620"
"471","group_1638"
"472","group_1705"
"473","group_1715"
"474","group_1735"
"475","group_1765"
"476","group_1772"
"477","group_1782"
"478","group_1858"
"479","group_1913"
"480","group_1918"
"481","group_1975"
"482","group_1983"
"483","group_1985"
"484","group_1988"
"485","group_1989"
"486","group_2056"
"487","group_2060"
"488","group_2108"
"489","group_2109"
"490","group_2162"
"491","group_2188"
"492","group_219"
"493","group_2192"
"494","group_2201"
"495","group_2205"
"496","group_2206"
"497","group_2229"
"498","group_2244"
"499","group_2246"
"500","group_2249"
"501","group_2260"
"502","group_2278"
"503","group_2294"
"504","group_2320"
"505","group_233"
"506","group_2345"
"507","group_2347"
"508","group_2354"
"509","group_2368"
"510","group_2430"
"511","group_2437"
"512","group_2457"
"513","group_2511"
"514","group_2525"
"515","group_2550"
"516","group_2572"
"517","group_2573"
"518","group_2599"
"519","group_2607"
"520","group_2620"
"521","group_2628"
"522","group_2642"
"523","group_2648"
"524","group_2673"
"525","group_2682"
"526","group_2688"
"527","group_2720"
"528","group_2746"
"529","group_2774"
"530","group_2789"
"531","group_2802"
"532","group_2813"
"533","group_2833"
"534","group_2851"
"535","group_2856"
"536","group_2861"
"537","group_2872"
"538","group_2877"
"539","group_2900"
"540","group_2913"
"541","group_2915"
"542","group_2924"
"543","group_2926"
"544","group_2933"
"545","group_2934"
"546","group_2935"
"547","group_2941"
"548","group_2947"
"549","group_2962"
"550","group_2964"
"551","group_2970"
"552","group_2973"
"553","group_2975"
"554","group_3058"
"555","group_3059"
"556","group_3070"
